c_mot;c_lemme;c_morpho
accompagne;accompagner;ver
accompagné;accompagner;ver
accompagnée;accompagner;ver
accompagnées;accompagner;ver
accompagnement;accompagnement;nom
accompagnements;accompagnement;nom
accompagnent;accompagner;ver
accompagner;accompagner;ver
accompagnera;accompagner;ver
accompagnerai;accompagner;ver
accompagneraient;accompagner;ver
accompagnerais;accompagner;ver
accompagnerait;accompagner;ver
accompagneras;accompagner;ver
accompagnèrent;accompagner;ver
accompagnerez;accompagner;ver
accompagneriez;accompagner;ver
accompagnerons;accompagner;ver
accompagneront;accompagner;ver
accompagnes;accompagner;ver
accompagnés;accompagner;ver
accompagnez;accompagner;ver
accompagniez;accompagner;ver
accompagnions;accompagner;ver
accompagnons;accompagner;ver
accompli;accomplir;ver
accomplie;accompli;adj
accomplies;accomplir;ver
accomplir;accomplir;ver
accomplira;accomplir;ver
accomplirai;accomplir;ver
accompliraient;accomplir;ver
accomplirais;accomplir;ver
accomplirait;accomplir;ver
accompliras;accomplir;ver
accomplirent;accomplir;ver
accomplirez;accomplir;ver
